weightit;weightit_1;weightit_2;weightit_3;weightit_4;weightit_5
1;27;9;0;1;0
1;26;10;0;1;0
1;26;10;0;1;25930
0;26;10;0;1;0
1;27;8;0;1;0
0;27;8;0;1;0
0;20;11;0;1;0
0;25;11;0;1;0
0;25;11;0;1;3650
0;25;11;0;1;15210
0;25;11;0;1;5281
0;25;11;0;1;4672
0;25;11;0;1;0
0;17;9;0;1;732
0;26;9;0;1;7585
0;20;11;0;1;1931
0;25;10;0;1;0
0;25;10;0;1;0
0;25;10;0;1;0
1;25;10;0;1;0
1;24;11;0;1;0
0;24;11;0;1;13627
1;24;11;0;1;0
0;17;11;0;1;0
0;17;11;0;1;4081
0;17;11;0;1;989
0;17;11;0;1;1262
1;23;11;0;1;11946
1;23;11;0;1;0
0;23;11;0;1;0
1;23;11;0;1;2355
0;23;11;0;1;0
0;23;11;0;1;0
0;23;11;0;1;0
0;24;10;0;1;0
0;24;10;0;1;1570
1;24;10;0;1;0
0;24;10;0;1;0
1;24;10;0;1;0
0;24;10;0;1;0
0;18;11;0;1;1065
0;18;11;0;1;1170
0;18;11;0;1;0
1;18;11;0;1;1135
1;18;11;0;1;858
1;18;11;0;1;0
0;18;11;0;1;2500
0;18;8;0;1;0
0;17;10;0;1;0
1;17;10;0;1;0
0;17;10;0;1;0
0;17;10;0;1;0
1;17;10;0;1;188
1;17;10;0;1;0
0;17;10;0;1;0
1;17;10;0;1;0
0;17;10;0;1;2073
1;17;10;0;1;1201
1;17;10;0;1;934
0;17;10;0;1;0
0;22;11;0;1;7914
1;22;11;0;1;0
0;22;11;0;1;8810
1;22;11;0;1;8125
1;22;11;0;1;662
0;22;11;0;1;0
0;22;11;0;1;3250
0;19;11;0;1;0
0;19;11;0;1;0
0;19;11;0;1;721
0;19;11;0;1;0
1;19;11;0;1;2103
0;19;11;0;1;1627
0;19;11;0;1;11828
0;19;11;0;1;705
1;19;11;0;1;710
1;19;11;0;1;210
1;19;11;0;1;6971
1;21;11;0;1;2878
1;21;11;0;1;6375
0;21;11;0;1;2484
0;21;11;0;1;0
1;20;11;0;1;7008
1;20;11;0;1;16319
0;20;11;0;1;8009
1;20;11;0;1;759
0;20;11;0;1;3785
0;23;10;0;1;0
0;23;10;0;1;0
0;23;10;0;1;0
1;23;10;0;1;2957
0;25;8;0;1;0
1;25;8;0;1;0
0;19;10;0;1;0
0;20;8;0;1;0
0;24;9;0;1;1275
0;24;9;0;1;9663
0;18;10;0;1;0
0;18;10;0;1;0
1;18;10;0;1;0
1;18;10;0;1;763
0;18;10;0;1;960
1;18;10;0;1;1495
0;18;10;0;1;1791
0;18;10;0;1;1563
0;18;10;0;1;2492
0;18;10;0;1;0
0;18;11;0;1;4985
0;17;9;0;1;0
0;17;9;0;1;828
0;17;9;0;1;0
0;17;9;0;1;1609
1;17;9;0;1;2002
0;17;9;0;1;0
1;17;9;0;1;0
1;17;9;0;1;1467
1;17;11;0;1;9267
1;22;10;0;1;1168
0;22;10;0;1;2120
0;22;10;0;1;0
1;22;10;0;1;785
0;22;10;0;1;0
0;26;6;0;1;0
1;19;10;0;1;1499
0;19;10;0;1;1051
1;19;10;0;1;0
0;19;10;0;1;0
0;19;10;0;1;1557
1;19;10;0;1;0
1;19;10;0;1;3878
0;19;10;0;1;0
0;18;11;0;1;0
0;18;10;0;1;1717
0;21;10;0;1;1230
0;20;10;0;1;3745
1;20;10;0;1;5006
1;23;9;0;1;2366
1;23;8;0;1;0
0;18;9;0;1;2198
0;18;9;0;1;0
1;18;9;0;1;1402
0;18;9;0;1;0
0;18;9;0;1;0
0;18;9;0;1;0
0;18;9;0;1;1605
1;18;9;0;1;1577
0;18;9;0;1;589
0;18;9;0;1;1542
0;18;9;0;1;0
1;18;9;0;1;0
0;17;8;0;1;1962
0;17;8;0;1;0
0;17;8;0;1;0
0;17;8;0;1;1025
1;17;8;0;1;0
0;17;8;0;1;1285
0;22;9;0;1;0
0;22;9;0;1;0
1;22;9;0;1;0
0;26;5;0;1;0
1;19;9;0;1;0
0;19;9;0;1;1083
1;19;9;0;1;0
0;19;9;0;1;0
0;19;9;0;1;2881
0;19;9;0;1;1538
1;18;9;0;1;0
0;18;9;0;1;0
0;18;9;0;1;0
1;21;9;0;1;0
0;21;9;0;1;591
1;21;9;0;1;6416
1;20;9;0;1;720
0;20;9;0;1;0
0;20;9;0;1;0
0;23;8;0;1;0
0;23;8;0;1;7724
0;24;7;0;1;0
1;18;8;0;1;1308
1;18;8;0;1;0
0;18;8;0;1;0
1;17;7;0;1;0
0;22;8;0;1;0
0;22;8;0;1;6892
1;19;8;0;1;0
0;21;8;0;1;39571
0;20;8;0;1;0
1;25;5;0;1;0
1;25;5;0;1;0
0;21;7;0;1;33800
1;18;6;0;1;0
1;27;10;0;1;459
1;27;10;0;1;0
0;26;11;0;1;1790
0;20;6;0;1;6007
1;20;9;0;1;12261
0;20;7;0;1;0
0;25;9;0;1;0
0;17;10;0;1;0
1;21;11;0;1;1395
0;18;10;0;1;0
1;18;10;0;1;2589
1;17;9;0;1;445
0;19;10;0;1;1197
0;25;7;0;1;1413
0;18;9;0;1;1647
1;18;9;0;1;1869
0;18;9;0;1;2928
1;22;9;0;1;0
1;19;9;0;1;6511
0;19;9;0;1;0
1;20;9;0;1;8741
0;18;8;0;1;3312
0;22;8;0;1;0
1;19;8;0;1;2484
0;24;4;0;1;0
